channel,t_exponent,p_exponent,t_offset,p_offset,n_subjects,subjects_included
FC5,1.1280557086182532,0.2642835252089705,1.239611877534904,0.22047926084799307,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FC6,0.6408499409625333,0.5243306490227242,1.1730645760409921,0.2459184939763403,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FT7,0.5694101518581399,0.5714389583668293,1.5305550658612421,0.1317170283238736,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FT8,0.8961316631498086,0.3741600268799232,1.42398413401403,0.16020415808076746,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
Fp1,1.7723171989551865,0.08198316297760605,2.267922368478414,0.02735754954984235,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
Fp2,0.9642269508142595,0.3393112310904195,1.5614405908596216,0.12437175558700389,54,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
Fpz,0.2426722076565674,0.8091787207922978,1.2569714240436858,0.21417378189951852,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
Fz,-1.3272677686106902,0.19033144851170508,0.03792226264606352,0.9698977178335515,52,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-45,sub-46,sub-47,sub-48,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-71"
O1,0.04422199421336073,0.96489364440082,0.5441016803559872,0.5886533018400666,54,"sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
O2,1.9379845476552704,0.05786109054997866,1.9213612925747536,0.059970982726481485,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
