subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-08,ses-1,SD,P4,1.1260786081242904,-11.39949725540746,2
sub-08,ses-1,SD,P6,1.0696560588413688,-11.449071785091913,2
sub-08,ses-1,SD,P8,0.9885601807739689,-11.440428910734289,4
sub-08,ses-1,SD,POz,1.091921169882717,-11.450354922804864,4
sub-08,ses-1,SD,PO4,1.1199507778548063,-11.330418943329065,3
sub-08,ses-1,SD,PO8,0.9615700994615205,-11.43837429157333,3
sub-08,ses-1,SD,O2,0.8815894524710336,-11.451470372027982,4
sub-11,ses-1,SD,Fp1,0.8086750457376973,-11.606943519268238,1
sub-11,ses-1,SD,AF3,0.8391627624305723,-11.50268000980271,1
sub-11,ses-1,SD,AF7,0.6323408270498707,-11.283655212198092,1
sub-11,ses-1,SD,Fz,0.8515440276294635,-11.918435641788726,1
sub-11,ses-1,SD,F1,0.8261900471906185,-11.827439387229273,1
sub-11,ses-1,SD,F3,0.8158775395015382,-11.577907599738744,1
sub-11,ses-1,SD,F5,0.798748120972574,-11.354810835685877,2
sub-11,ses-1,SD,F7,0.806651391140402,-11.095159607089458,1
sub-11,ses-1,SD,FC1,0.9354110530851109,-12.094635378509041,2
sub-11,ses-1,SD,FC3,0.8747640328618784,-11.817845523632664,2
sub-11,ses-1,SD,FC5,0.7408094895001969,-11.477965047504687,1
sub-11,ses-1,SD,FT7,0.682227947517384,-11.180542846272404,1
sub-11,ses-1,SD,Cz,0.9920934641721625,-39.13919500551205,3
sub-11,ses-1,SD,C1,0.9679609721133886,-12.443260002826149,2
sub-11,ses-1,SD,C3,0.8590273792798371,-11.849595686167685,2
sub-11,ses-1,SD,C5,0.6425301739842325,-11.504838362012451,2
sub-11,ses-1,SD,T7,0.4078866484551411,-11.38698395980307,2
sub-11,ses-1,SD,CP1,1.031000542203392,-11.921481192418065,2
sub-11,ses-1,SD,CP3,0.9525539689069087,-11.705788333647844,2
sub-11,ses-1,SD,CP5,0.8692103778508752,-11.468034231520733,2
sub-11,ses-1,SD,TP7,0.7810011290215231,-11.268295373218116,3
sub-11,ses-1,SD,TP9,0.8979532954033671,-11.071895733760993,3
sub-11,ses-1,SD,Pz,1.1550681665511375,-11.370683926886521,2
sub-11,ses-1,SD,P1,1.1078926683036505,-11.489861925329746,2
sub-11,ses-1,SD,P3,1.0720559189686558,-11.309196794191724,2
sub-11,ses-1,SD,P5,0.9631460249956677,-11.210704947437359,3
sub-11,ses-1,SD,P7,0.6097460411309583,-11.309464435579049,3
sub-11,ses-1,SD,PO3,1.0992935426423145,-11.084856710066514,2
sub-11,ses-1,SD,PO7,1.0671562314613456,-10.97237749457911,3
sub-11,ses-1,SD,Oz,0.9495165111124068,-11.086320899897023,2
sub-11,ses-1,SD,O1,0.9398300141523446,-11.07696782557014,2
sub-11,ses-1,SD,Fpz,1.0002720330978994,-11.45953990675041,2
sub-11,ses-1,SD,Fp2,0.9118154319373688,-11.23100396260096,1
sub-11,ses-1,SD,AF4,0.9409308966804498,-11.481160082448952,3
sub-11,ses-1,SD,AF8,0.8243180956905596,-11.112372835484438,2
sub-11,ses-1,SD,F2,0.8354325997830844,-11.789446746970535,1
sub-11,ses-1,SD,F4,0.9141383352770514,-11.51065594204543,3
sub-11,ses-1,SD,F6,0.8430640200080461,-11.292480072720531,3
sub-11,ses-1,SD,F8,0.9202172972476377,-11.018057878160697,5
sub-11,ses-1,SD,FC2,0.8629344151987746,-12.199291698025752,2
sub-11,ses-1,SD,FC4,0.850723483508381,-11.76917590131994,2
