subject,channel,aperiodic_exponent_NS,aperiodic_offset_NS,aperiodic_exponent_SD,aperiodic_offset_SD,ap_delta_NS,ap_delta_SD,diff_ap_delta,ap_theta_NS,ap_theta_SD,diff_ap_theta,ap_alpha_NS,ap_alpha_SD,diff_ap_alpha,ap_beta_NS,ap_beta_SD,diff_ap_beta,ap_gamma_NS,ap_gamma_SD,diff_ap_gamma,diff_exponent,diff_offset
sub-07,TP8,1.1515933592746663,-11.196209522303088,0.9912842917339988,-11.162971332964062,-11.65447459367951,-11.557443012613145,0.09703158106636423,-12.09232333475617,-11.934340444062538,0.15798289069363136,-12.347802881577755,-12.154255624698061,0.1935472568796932,-12.694467025526876,-12.45266193074052,0.24180509478635592,-12.974348028445085,-12.693581730696925,0.2807662977481602,-0.16030906754066754,0.033238189339025226
sub-07,P2,1.1799233327542171,-11.459447511789408,1.249279847150855,-11.21572568092888,-11.92898621305796,-11.712864114137894,0.21612209892006717,-12.377606328528937,-12.187854356068405,0.18975197246053277,-12.639370844543626,-12.465005528079736,0.17436531646388964,-12.994563160286457,-12.841076235050657,0.1534869252358,-13.281329424678471,-13.144698771365313,0.1366306533131585,0.06935651439663792,0.2437218308605278
sub-07,P4,1.140745001169433,-11.343421771002822,1.1953211005180575,-11.153178710984305,-11.79736984666077,-11.62884480009033,0.16852504657043887,-12.231093920031707,-12.083319319962385,0.1477746000693223,-12.484166772172255,-12.348499811502363,0.1356669606698926,-12.827565234927997,-12.70832731720838,0.11923791771961767,-13.104809674060862,-12.998835825031842,0.10597384902902007,0.05457609934862462,0.19024306001851699
sub-07,P6,1.0714629953869,-11.287186970600406,1.2331193805750065,-10.90433960633992,-11.713564964276436,-11.395047143339596,0.3185178209368402,-12.120947240200525,-11.863892994206665,0.25705424599386006,-12.358649965987306,-12.137458986914927,0.22119097907237872,-12.68119246684274,-12.508664908702592,0.17252755814014797,-12.941598742481144,-12.808359836754795,0.13323890572634944,0.16165638518810654,0.3828473642604848
sub-07,P8,1.1858488396987477,-11.30705210189777,0.9295370382455508,-10.959890088271337,-11.778948799451216,-11.329790065331752,0.4491587341194645,-12.229821859275344,-11.68321049686002,0.546611362415323,-12.492900941596519,-11.889427126516887,0.6034738150796315,-12.84987701266917,-12.169245657109455,0.680631355559715,-13.13808340070646,-12.395158525066291,0.7429248756401687,-0.2563118014531969,0.3471620136264342
sub-07,POz,1.149472935906264,-11.257482213112668,0.9130826337028408,-10.96461434301209,-11.71490348319548,-11.327966454186086,0.38693702900939364,-12.151946015470285,-11.675130736131546,0.476815279338739,-12.406955149018932,-11.877696976714931,0.5292581723040009,-12.752980981930659,-12.152562237979355,0.6004187439513036,-13.032346641291024,-12.374476059563836,0.6578705817271882,-0.23639030220342327,0.2928678701005776
sub-07,PO4,1.0562257083768536,-11.311605262887802,1.2662435249567738,-10.824727923188217,-11.731919730438916,-11.328616882490426,0.40330284794849014,-12.1335086185486,-11.810056905423522,0.3234517131250776,-12.367830971264656,-12.090971448144991,0.2768595231196649,-12.685786591677525,-12.472148730972272,0.21363786070525315,-12.942489626813735,-12.779894086439421,0.16259554037431379,0.21001781657992025,0.4868773396995856
sub-07,PO8,1.2265592010335074,-11.096529937029851,1.2407379716423124,-10.811773865759331,-11.584626916125893,-11.3055131449544,0.2791137711714935,-12.050978512983638,-11.777255669791263,0.2737228431923757,-12.32308913806336,-12.052511837401644,0.27057730066171537,-12.692320249032091,-12.426011183625267,0.26630906540682453,-12.990420803849496,-12.727557719184205,0.26286308466529107,0.014178770608805014,0.28475607127051994
sub-07,O2,1.265981725624009,-10.920483657360077,1.2585758399738254,-10.949425550883332,-11.424268436233536,-11.450263231556933,-0.025994795323397213,-11.905608920117242,-11.928787914461608,-0.023178994344366544,-12.186465382984085,-12.208001390857158,-0.021536007873072194,-12.56756385635936,-12.58687047050727,-0.019306614147909684,-12.875245584627528,-12.892752286778222,-0.017506702150694053,-0.007405885650183519,-0.028941893523255047
sub-13,Fp1,0.6969197536508256,-11.124014885828528,1.0654928956810044,-11.414734052751829,-11.401347138640052,-11.838736304899122,-0.4373891662590701,-11.666323863548978,-12.243848681800891,-0.5775248182519128,-11.820934639479354,-12.480226948432833,-0.6592923089534786,-12.030728389899004,-12.800972270199688,-0.7702438803006846,-12.200106406917234,-13.05992758445511,-0.8598211775378761,0.36857314203017877,-0.29071916692330113
