subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-14,ses-2,NS,CP3,1.2996834244958624,-11.724855589512096,3
sub-14,ses-2,NS,CP5,1.242315043236742,-11.713609074692844,4
sub-14,ses-2,NS,TP7,1.1867701628069987,-11.556067770680784,2
sub-14,ses-2,NS,TP9,1.143935442305856,-11.099244060945235,0
sub-14,ses-2,NS,Pz,1.3142049957122144,-11.58448645355208,1
sub-14,ses-2,NS,P1,1.4103610696998425,-11.45359929691278,1
sub-14,ses-2,NS,P3,1.2923673611778372,-11.50349680131393,1
sub-14,ses-2,NS,P5,1.202948170174671,-11.445911458723295,1
sub-14,ses-2,NS,P7,1.1652037320955264,-11.407677353194506,1
sub-14,ses-2,NS,PO3,1.049723778516399,-11.539463919084092,1
sub-14,ses-2,NS,PO7,0.859663108452576,-11.47396013073632,1
sub-14,ses-2,NS,Oz,0.5401769211917381,-11.632012943715155,3
sub-14,ses-2,NS,O1,0.6347725781570921,-11.58458202308211,1
sub-14,ses-2,NS,Fpz,1.1293186923039331,-11.357726345110654,0
sub-14,ses-2,NS,Fp2,0.8576098362990309,-11.299856665086184,1
sub-14,ses-2,NS,AF4,1.1915781059203252,-11.2503537421598,3
sub-14,ses-2,NS,AF8,0.7921700105407862,-11.187093785182126,0
sub-14,ses-2,NS,F2,1.4254989708962802,-11.221986862835578,3
sub-14,ses-2,NS,F4,1.2535117637645272,-11.291928062774241,3
sub-14,ses-2,NS,F6,1.0145776484345004,-11.261720463686927,0
sub-14,ses-2,NS,F8,1.240989571313817,-11.022098908488278,0
sub-14,ses-2,NS,FC2,1.3594266102742323,-11.44857945480676,4
sub-14,ses-2,NS,FC4,1.2793441437065745,-11.419407400288861,3
sub-14,ses-2,NS,FC6,1.1460411856880683,-11.474536712999091,3
sub-14,ses-2,NS,FT8,1.0912012078752753,-11.395635188744212,1
sub-14,ses-2,NS,C2,1.338360955533546,-11.615997025735362,2
sub-14,ses-2,NS,C4,1.1776338288119612,-11.818177001954947,4
sub-14,ses-2,NS,C6,0.8762638234737494,-11.824741147559891,4
sub-14,ses-2,NS,T8,1.2665896925224667,-11.37183548262002,0
sub-14,ses-2,NS,CPz,1.3686244362810478,-11.704988848337033,3
sub-14,ses-2,NS,CP2,1.2951599864815504,-11.776599178390539,4
sub-14,ses-2,NS,CP4,1.2256289622855137,-11.82615286756029,3
sub-14,ses-2,NS,CP6,1.1760708771877164,-11.820482748556698,2
sub-14,ses-2,NS,TP8,0.9429810740642534,-11.520909951293632,0
sub-14,ses-2,NS,TP10,1.0685825978736625,-11.54928862558686,3
sub-14,ses-2,NS,P2,1.283441905882555,-11.611326598655365,1
sub-14,ses-2,NS,P4,1.1343617119291423,-11.786673182142879,3
sub-14,ses-2,NS,P6,1.1627962650867842,-11.672152636154877,3
sub-14,ses-2,NS,P8,1.1859341483449037,-11.616449716328608,1
sub-14,ses-2,NS,POz,1.0045758889702996,-11.60338929169403,2
sub-14,ses-2,NS,PO4,1.0510778200414497,-11.483511998313302,1
sub-14,ses-2,NS,PO8,1.04468187854869,-11.229622527442228,0
sub-14,ses-2,NS,O2,0.5012737052309086,-11.635743872978244,4
sub-15,ses-2,NS,Fp1,0.8908407929599641,-11.306212129880395,4
sub-15,ses-2,NS,AF3,1.157944622761727,-11.291945949996602,3
sub-15,ses-2,NS,AF7,1.043822488738895,-11.295930064507566,4
sub-15,ses-2,NS,Fz,1.2005283869467127,-11.47428021577593,3
sub-15,ses-2,NS,F1,1.2251936656367344,-11.395389599292542,2
sub-15,ses-2,NS,F3,1.130393863303642,-11.369987158682925,3
sub-15,ses-2,NS,F5,0.9527989676288181,-11.316274915072038,4
sub-15,ses-2,NS,F7,0.8625466988503646,-11.140882356975894,2
sub-15,ses-2,NS,FC1,1.1100453920483115,-11.959122547072406,3
sub-15,ses-2,NS,FC3,1.0663768718251985,-11.648330882015813,3
sub-15,ses-2,NS,FC5,0.9907000012577379,-11.434230974699988,3
sub-15,ses-2,NS,FT7,1.0484850998441961,-11.203228569359691,3
sub-15,ses-2,NS,Cz,1.1160154973560883,-39.253593327796885,3
sub-15,ses-2,NS,C1,0.9813683998963626,-12.33751039392405,3
sub-15,ses-2,NS,C3,1.072898673857365,-11.734718286942051,3
sub-15,ses-2,NS,C5,1.1498722901473857,-11.446711190268488,3
sub-15,ses-2,NS,T7,1.1059792794839436,-11.31463162078364,3
sub-15,ses-2,NS,CP1,1.1343192443282761,-11.823226620700789,3
sub-15,ses-2,NS,CP3,1.1520297461810678,-11.543514501657796,3
sub-15,ses-2,NS,CP5,1.153588074224194,-11.393172628346463,3
sub-15,ses-2,NS,TP7,1.1664400282919636,-11.202327661034566,3
sub-15,ses-2,NS,TP9,1.1521058781345566,-11.065559895495932,4
sub-15,ses-2,NS,Pz,1.1190324246212833,-11.429357601850263,1
sub-15,ses-2,NS,P1,1.1908921013786566,-11.428901726069023,3
sub-15,ses-2,NS,P3,1.203455796963945,-11.242396771614178,3
sub-15,ses-2,NS,P5,1.2375092404489327,-11.093497453279573,3
sub-15,ses-2,NS,P7,1.2881757986196747,-10.951864692763357,2
sub-15,ses-2,NS,PO3,1.22364697852521,-11.039584952283736,3
sub-15,ses-2,NS,PO7,1.340515758097308,-10.748123727177989,2
sub-15,ses-2,NS,Oz,1.1668870102738644,-10.941790800022133,3
sub-15,ses-2,NS,O1,1.259402669098483,-10.918721211803007,3
sub-15,ses-2,NS,Fpz,1.0654484796296972,-11.313581367382724,4
